Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Alt_LCSC,Arrow Part Number,Arrow Price/Stock,Description,Field5,Height,JLC Part Number,LCSC,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,Populate,Price,Total Price
19,1,Q1,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,,,,,,C20526,C20526,,,,,,0.0143,0.0143
20,1,Q2,AO3401A,Transistor_FET:AO3401A,AO3401A:SOT95P280X125-3N,http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf,,,,,,,C15127,C15127,,,,,,0.1774,0.1774
21,9,"R1, R2, R3, R4, R5, R10, R11, R12, R16",0R,Device:R_Small_US,0R:RESC2013X65N,https://datasheet.lcsc.com/lcsc/2110251730_UNI-ROYAL-Uniroyal-Elec-0402WGF0000TCE_C17168.pdf,,,,,,,C17477,C17477,,,,,,0.0024,0.0216
22,2,"R6, R7",4.7k,Device:R_Small_US,4k7:RESC2013X65N,https://datasheet.lcsc.com/lcsc/2110251730_UNI-ROYAL-Uniroyal-Elec-0402WGF0000TCE_C17168.pdf,,,,,,,C17673,C17673,,,,,,0.0027,0.0054
23,3,"R8, R9, R14",1k,Device:R_Small_US,1k:RESC1608X55N,~,,,,,$0.0007,,C21190,C21190,,,,,,0.0011,0.0033
24,1,R13,1k2,Device:R_Small_US,1k:RESC1608X55N,~,,,,,,,C22765,C22765,,,,,,0.0014,0.0014
25,1,R15,10k,Device:R_Small_US,10k:RESC1005X40N,~,,,,,$0.0007,,C25905,C25905,,,,,,0.0007,0.0007
26,2,"R17, R18",1k,Device:R,1k:RESC1608X55N,~,,,,,,,C21190,C21190,,,,,,0.0011,0.0022
27,2,"R19, R20",4.7k,0402WGF4701TCE:0402WGF4701TCE,4k7:RESC2013X65N,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF4701TCE_C25900.pdf,,,,Chip Resistor - Surface Mount 4.7KOhms +/-1% 1/16W 0402 RoHS,,0.4,C17673,C17673,UNI-ROYAL(Uniroyal Elec),0402WGF4701TCE,,,,0.0027,0.0054
28,3,"R21, R22, R23",1.5k,0402WGF4701TCE:0402WGF4701TCE,4k7:RESC2013X65N,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF4701TCE_C25900.pdf,,,,Chip Resistor - Surface Mount 4.7KOhms +/-1% 1/16W 0402 RoHS,,0.4,C25867,C25867,UNI-ROYAL(Uniroyal Elec),0402WGF4701TCE,,,,0.0009,0.0027
29,11,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11",TestPoint,Connector:TestPoint,TestPoint:TestPoint_Pad_D2.0mm,~,,,,,,,,,,,,,,,0
30,1,U1,HT75xx-1-SOT89,Regulator_Linear:HT75xx-1-SOT89,Package_TO_SOT_SMD:SOT-89-3,https://www.holtek.com/documents/10179/116711/HT75xx-1v250.pdf,,,,,,,C14289,C14289,,,,,,0.2291,0.2291
31,1,U2,DS18B20Z,Sensor_Temperature:DS18B20Z,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf,,,,,,,C695837,C695837,,,,,,1.1052,1.1052
32,1,U3,ALS-PDIC15-21B/TR8,Sensor_Proximity:TSSP58038SS1XB,ALS_Light:LED-SMD_1206-4P-L3.2-W1.5-TR,http://www.vishay.com/docs/82740/tssp58038ss1xb.pdf,,,,,,,C131243,C131243,,,,,,0.4279,0.4279
33,1,U4,CH340G,Interface_USB:CH340G,3088_uC:SOIC127P600X180-16N,http://www.datasheet5.com/pdf-local-2195953,,,,,,,C14267,C14267,,,,,,0.5838,0.5838
34,1,Y1,YSX321SL,YSX321SL:YSX321SL,3088_uC:YSX321SL,https://datasheet.lcsc.com/szlcsc/YSX321SL-30MHZ-10PF-8PPM_C70576.pdf,,,,Crystal,,0.8,C9002,C9002,YXC,YSX321SL,,,,0.1054,0.1054
,,,,,,,,,,,,,,,,,,,Total Price,,12.9516
